benchmark,case_unit_id,status,hard_failures,review_signals,stronger_condition_count,checklist_sha256
deep_swe_v1_1,etree-xml-diff-patch,pass,,,1,56ea839471f89436fa0cb5864da915f979705324d788edf2b76baab7bb8a12cb
deep_swe_v1_1,expr-try-catch-errors,pass,,,1,946215ddc18b2f91f6245b6eb23283ce86c73c989dd663f87ed9a2a95858b4cd
terminal_bench_2_1,extract-elf,pass,,,2,e555195b9e777c4bd910cce7f7b6b9ce89479af7740b20fe880ebec997535b07
terminal_bench_2_1,extract-moves-from-video,pass,,,1,19deddc228696699ae2f90b7702631a9db2d1642be8cfbc231d3ffaed0668b76
deep_swe_v1_1,fastapi-deprecation-response-headers,pass,,,1,684143f6579ebf5c713be031f8bf9aec8f8b937ff95fdfdf5e608dcb6475c20d
deep_swe_v1_1,fastapi-implicit-head-options,pass,,,1,02e2a417d3ceacc21ccf2d2ef8e4ed10f104f651cf13f5bcc32f6383f40c6231
deep_swe_v1_1,fd-deterministic-multi-key-sorting,pass,,,1,946f25212f20c76a93eeebdf384a807404d0086a44379c05a89a267503fb0bc1
terminal_bench_2_1,feal-differential-cryptanalysis,pass,,,1,d2590dce20d848d823fa3c368e208d9e4dc809aff502c242ac4135b64878dd47
terminal_bench_2_1,feal-linear-cryptanalysis,pass,,,1,223f682c7f50483e48a04b24e72c9b2ee97ff01d6a6e7cea7f9587fba587b208
terminal_bench_2_1,filter-js-from-html,pass,,,1,d60550f8b7fe14d40ef2b55765c033a4244628cd1003d605de65d984d7ffd679
terminal_bench_2_1,financial-document-processor,pass,,,1,ee855e101d5274452fb2d24ec461222f364c03cd80df7875d10c42c679baea5e
terminal_bench_2_1,fix-code-vulnerability,pass,,,1,1b04192c0485e22870b4f7db0e8a2a1370b587e45158f92a15640762ac655b9a
terminal_bench_2_1,fix-git,pass,,,1,cdaac012ca64125917c52d1c7ac0dcce81037bca53aa39de3834652a0aca8c71
terminal_bench_2_1,fix-ocaml-gc,pass,,,1,53d13ffb3bb21cb6779da1aefe956d0261d358c05c171991f7484d315b73fb1b
terminal_bench_2_1,gcode-to-text,pass,,,0,d587f792751a3e35e5ea7d0071467b9006c74d68e552c2b8d32830c5ed9afbf7
deep_swe_v1_1,geo-shapeindex-serialization,pass,,,1,a6cf965f8e711da52603cd731673c49ec052bb989f2dda8482a6b6f87fc67734
terminal_bench_2_1,git-leak-recovery,pass,,,1,0b7235979de35049835f1571d596650bb7b16e63d1dba51322f68934fc8f2590
terminal_bench_2_1,git-multibranch,pass,,,1,828d1893cddfa7d7ebd280c1f8f01fbef61d1d108cd694626f53d21dc788a4f2
deep_swe_v1_1,go-critic-doc-link-checker,pass,,,1,f97a45346918690711ae66b93c07ca0abe280f094f5c585cdeb9c9f52ca5d94d
deep_swe_v1_1,go-genai-streamed-function-args,pass,,,1,d13de4253862f120998df7bc80c1e322ca8ab6f27e910e907b94ae5eeeb451cc
deep_swe_v1_1,go-git-worktree-merge-conflicts,pass,,,1,3f96552fe3468b57f3c81c3a25fd8ae02edd8e3fcdb262db68962343d453b35f
deep_swe_v1_1,goreleaser-retry-publish-auditing,pass,,,1,2555481fc7c261db9041b0cc2bb9fc04fed81078586b67aa00f550d567ea92cc
terminal_bench_2_1,gpt2-codegolf,pass,,,1,9612fab651879897ce8d56475ee7d96f96db0abc9374f9f6b4308a0f969ec0a2
deep_swe_v1_1,gql-incremental-graphql-delivery,pass,,,1,dcd82b00bbed32b21179887cba50cb158b14e408aca5c80b70ab904eee0b3d9c
deep_swe_v1_1,happy-dom-abort-pending-body-reads,pass,,,1,26ac467106b6a8b52afc05fb3e416200cf94627c361919e25aaa1448fbc84677
deep_swe_v1_1,happy-dom-deterministic-intersectionobserver,pass,,,1,5ac21379e172a40c29820aaf5b08c78c659b99ae9b1e5975561a862c95a14cfa
terminal_bench_2_1,headless-terminal,pass,,,1,cb589ba5fa9a960a9942335d7f8055cbf429dd54ded03d9728d9c7d32c198681
deep_swe_v1_1,helm-array-merge-strategies,pass,,,1,f764609960fd979aa26bbe7afbf5e10d07ae95f4c9bf5ace434e41b0295ec45f
deep_swe_v1_1,helm-unified-manifest-stream,pass,,missing_duplicate_worst_status_rule,1,9798a42388d3999aeb63c3655abb3548bd7c90972b295cce6edc36376a88862a
terminal_bench_2_1,hf-model-inference,pass,,,1,e666f341f05d6a9f6262d199ecd1f71cd0d8717747fbad9dde532c443da8351b
deep_swe_v1_1,httpx-deterministic-cookie-store,pass,,,1,5dbe0cfd73e74f007ee8462606260984900e90abc311adeecf36667178c9d18c
deep_swe_v1_1,httpx-multipart-response-parsing,pass,,,1,f8f32f9441b62301a51e7165ff15b127ab377d2f37750d6be4803503b8edba56
deep_swe_v1_1,httpx-streaming-json-iteration,pass,,,1,4527388ee8ebacd27550ba443ef2d955eeb9d9b76fcdf6ad535b1ccfef104468
deep_swe_v1_1,igel-persist-feature-schema,pass,,,1,58424d68c821419800639eea9e9c908645b5dd9c01f796cd588751e1b7dc0788
deep_swe_v1_1,ink-grid-box-layout,pass,,,1,04d6563c83c474bf1d5393c47a34ddf52561361fda58399abd34319383f14843
terminal_bench_2_1,install-windows-3.11,pass,,,1,34e3cad588416e2dca3515fd257457ddadf6bd1c8220d0feeda52d80c6683f0c
deep_swe_v1_1,ipython-session-bundle-replay,pass,,,1,4590bbadbf325d6c9a898e8caa28879c7b535566cf82ed2cf3d9cdfc442c0113
deep_swe_v1_1,katex-multicolumn-array-spans,pass,,,1,b1c3aaed0e9358783d3996b547acf277838ef3af8cfaf61225bc1a7fd8106d36
deep_swe_v1_1,kcp-go-multiplexed-kcp-streams,pass,,,1,ce28252a46c1ae61be8afc6c9fac5d544258ea0ba55dcf18c17456c7df4b9f9f
deep_swe_v1_1,kea-atomic-signal-selectors,pass,,missing_duplicate_worst_status_rule,1,3107d5c81876109d1bec1d0b487a3fbe8efdade9d9ea2d9878620e7e61140872
deep_swe_v1_1,kgateway-consistent-hash-policy,pass,,,1,24ec1372cdb88576b6d3ebc723e93569b60108668a080f9125eb2df1eb9f3d70
deep_swe_v1_1,kombu-single-active-consumer-priority,pass,,,1,4e896d8f1d8c3e590c3523e1729bd8b3b137674549913b3788f07397d5c8e483
deep_swe_v1_1,kombu-virtual-queue-dead-lettering,pass,,missing_duplicate_worst_status_rule,1,7e842c40f0dd7aabb2d537948b012824934778aaa22d19184e9bad569838a585
deep_swe_v1_1,koota-composite-trait-aspects,pass,,missing_duplicate_worst_status_rule,1,a7161a175df3b84182f6a193d7dc5ef8681cd37e11768cb57df07b5550e8bc3b
deep_swe_v1_1,koota-deferred-mutation-buffer,pass,,,1,78cb461727ba83b814d4c1a0b769cad518c01f3ac4c5cde310ad79f5844fb046
deep_swe_v1_1,koota-entity-snapshot-rollback,pass,,,1,807cb3fe6d166ebbd7f57156d07022d46c67ba55a0e536067d1514cd2cad52d8
deep_swe_v1_1,koota-pair-relation-tracking,pass,,,1,908ccb8a67b00da2a3a5c87cf16041ea00a934ead631ebdb82e8cf741a9b69a9
deep_swe_v1_1,koota-query-predicates,pass,,,1,b16ea769a5e94ad45ac2ee376c5faf45f48225689117b5efd09801aa18351420
terminal_bench_2_1,kv-store-grpc,pass,,,1,a75aba92c0e522e63688022d3b4aba174021c727ec42b80ca78266f5ff15742a
deep_swe_v1_1,kysely-window-grouping-helpers,pass,,,1,ba86087b601aa9bfcb4a0376fbe1aba2bada1def3518fd55bac1bb28184badc9
deep_swe_v1_1,langchain-request-coalescing,pass,,,1,657117afc502592a26dc109dd26a14c495b6177f85ae029d265167dc162f8d7f
terminal_bench_2_1,large-scale-text-editing,pass,,,1,19a629245eb5ebd50f6d04a8a575617181bbbd5b2dc1653c45e9c0e0032f0836
terminal_bench_2_1,largest-eigenval,pass,,,0,e7058179f4962346ff29dd744afb1e0a5bedac2e9b6e09b1878bfc5897bcb836
terminal_bench_2_1,llm-inference-batching-scheduler,pass,,,0,f5a80fc3902b7de81f3f3be59fc55020e97ca7be9fa55f79f6ad79ee01e35f2f
terminal_bench_2_1,log-summary-date-ranges,pass,,,1,3e7fc1f7e132895ca0c8d00f78b806ef9c875c895bbb87abf3bf125e02a4168e
terminal_bench_2_1,mailman,pass,,,0,0c63bba84e944804cf6544f35e916b0c2bf648b2ef517cb49e2a76620025aa7f
terminal_bench_2_1,make-doom-for-mips,pass,,,0,04ef9c6acda70fdd1ab6f3d226e2b442a9e1858957d2b4c248361b762062a28f
terminal_bench_2_1,make-mips-interpreter,pass,,,1,09077a6cb0b3883970ce3960b2d854d7297b1ddf2f993246d14135ba2d0acd72
deep_swe_v1_1,mashumaro-flattened-dataclass-fields,pass,,,1,359abfd78c85f7c8164632806045a3ee2c8a4aa19ceec85ce2082913c10e393c
terminal_bench_2_1,mcmc-sampling-stan,pass,,,3,7cd06ab9d7f4977d844d177f4aa6e62b72a71daf0d77b6c75261a39a4df9b4cd
terminal_bench_2_1,merge-diff-arc-agi-task,pass,,,1,d8923364e5bc4b71ab9b65e44fbb36df33109861cd117a9ee4f1e3fbfa4aefc1
deep_swe_v1_1,meriyah-explicit-resource-declarations,pass,,,1,4801d7d6b486eb37bdfae1cb387da290ed86bd7cbb2ab4daf46c99b8fb030434
deep_swe_v1_1,mnamer-daemon-watch-lifecycle,pass,,,1,98ffdfc04a6e56fa54af511e32bf31cee782fce2156213b68d1531af615227b7
deep_swe_v1_1,mobly-grouped-test-barriers,pass,,,1,7b57b97bde11fee95950acf2308567bcaedd5c6be739e573aedf5c88bbd6ab23
terminal_bench_2_1,model-extraction-relu-logits,pass,,,1,c8d978ff2c60200a54c76a11cb960f6e4be40b7ea651cab99cfea9651a517c6e
terminal_bench_2_1,modernize-scientific-stack,pass,,,1,f2e9cc4db62e8412691147981fb5123877efb89c9f70b99b866ddefd21f936af
terminal_bench_2_1,mteb-leaderboard,pass,,,0,57c63cac616e512ba82bfd93ad88c9069269037f8538cbf232c5a892b12a7f29
terminal_bench_2_1,mteb-retrieve,pass,,,1,765e7848f52e5681c7c76a57d21b4a43eda22f4fa697dc10dca571cbb933eb35
terminal_bench_2_1,multi-source-data-merger,pass,,,1,d36172a92719d12e2d5d7a0b94fa7e00fe30499152f7163e53dc94636cc0b267
deep_swe_v1_1,narwhals-rolling-window-suite,pass,,,1,d60895134b0ec466fb820097335bcaac4b46b00a4ff4acde920575c45fa50092
terminal_bench_2_1,nginx-request-logging,pass,,,1,c5f733282f766a6c43e76e9cf8ffe8c5de19965dcfd6679ebe1da3f6eb21088a
deep_swe_v1_1,numba-stencil-boundary-modes,pass,,,1,626abf7d797908ec556557dab8dd3cf45e7ba94968f8910e9d0900979abaca65
deep_swe_v1_1,obsidian-linter-auto-table-of-contents,pass,,,1,a05a3b270e51837d2978fee18e59f5a638192620da61ea9841d7f0c6cca95298
deep_swe_v1_1,obsidian-linter-link-format-conversion,pass,,,1,417e17d183bb217ff0261d2c5be92c09153fb8e12f8377ed391f368bfa7eb6ba
deep_swe_v1_1,obsidian-linter-scoped-ignore-markers,pass,,,1,3da6dfb88b87e726a514b7a61b94a6df6aab92beefde6eb0ab2884c403e63595
deep_swe_v1_1,ofetch-per-origin-circuit-breaker,pass,,,1,b042ee2067a58e3cdfbdeec9b9c7e241b4db52d2f6e1a782c6ddc2e1fdfad259
deep_swe_v1_1,onedump-dump-encryption-pipeline,pass,,,1,b59ef716acdf9dc6a95397296fa2aae437b1f610852c5650b2be66954fd1cba2
deep_swe_v1_1,opa-rego-rule-profiling,pass,,,1,175710ab43ec5e793975004103cd0ca4219b9743051644e5270ec31170e64baf
deep_swe_v1_1,opa-template-string-reconstruction,pass,,,1,5a42c27d6a567e1dfed24e0216240320201114b6094f40ff75626bcf16b9f250
terminal_bench_2_1,openssl-selfsigned-cert,pass,,,2,cc927a9c11ca479d8414eb21cd738fd28da53a69908f85dfc7b5b260503c892e
deep_swe_v1_1,optique-conditional-option-dependencies,pass,,,1,1768ad2153929d087814cd7530cabed66d67dc09a10033cd2a16906ec90c6a85
terminal_bench_2_1,overfull-hbox,pass,,,1,199c26034e0d197209a32bdac30f9d7441ce56287b1b15b0eaf961d8ff0ba246
deep_swe_v1_1,oxvg-structural-selector-preservation,pass,,,1,ba6f8e75ca079f9da5e33c925c7a29bf437d13ae3d26a1bff12fdf1dc6e0ab18
deep_swe_v1_1,participle-grammar-conflict-analysis,pass,,,1,4bd3b1bbfd6381ab2505560f3d2c98015300cbb140c17d229f0f9a364aa466b2
terminal_bench_2_1,password-recovery,pass,,,0,8327c93ca2e886d753d161f9c1460166013b5ef6c23f5563c07a31da6dc2eab4
terminal_bench_2_1,path-tracing,pass,,,1,f9c544d8848fd85daed11b50a243177d104cb19075734b1b91e12d2c355a19a5
terminal_bench_2_1,path-tracing-reverse,pass,,,2,4a14eb17316303ff01f2b66746544cf40b65623a1b7dec08ef11a9a86a6d3ccb
deep_swe_v1_1,pebble-durability-wait-apis,pass,,,1,bbe5b83b93f741afacf8ee256cefc6d75b18e4338e81ab931f3a860eb9aa4368
deep_swe_v1_1,pest-character-class-coalescing,pass,,,1,b2e9f7b4d809f71373189b5585e016f0dc55853e0759844eee81864e72ef73f2
terminal_bench_2_1,polyglot-c-py,pass,,,2,fc3da6ddb07b400daaac19a46072adeafe89c527977ec5f584cd907a9aec4caf
terminal_bench_2_1,polyglot-rust-c,pass,,,1,ea169a9a4ba7e1c9091f3c25a1adb11b87d433059b518e252aae6ba1ff2ce436
terminal_bench_2_1,portfolio-optimization,pass,,,1,4f96ccdc81bb6cd2b41f6ffe04dac9e850998ff86cfe64d12c512803950441cd
deep_swe_v1_1,prometheus-transactional-reload-status,pass,,missing_duplicate_worst_status_rule,1,0fd2ca9e0b079d60793cd5aaa657bec1c9af05678c0192df5e2f823c79ae5c30
deep_swe_v1_1,prometheus-typed-label-sorting,pass,,,1,521128d8793070335b17c1b263d9daaec3fc0843f5a72e5f1544a03264daaca0
terminal_bench_2_1,protein-assembly,pass,,,0,60b80161649aa4077d05f213469adf80b9a3d255d62e45ef5b7d1340bbfd48e8
terminal_bench_2_1,prove-plus-comm,pass,,,1,e86a9f39272a5bea79d2bc4331dcbf37aa27ef10fedbae6a39b8e7c4dfffdff1
deep_swe_v1_1,psd-tools-blend-range-api,pass,,,1,fb3839f16f718ec0a703ac02712f5d644cac0522f1149132e5e7d721681561a1
deep_swe_v1_1,pwntools-tube-multiplexing,pass,,,1,511c21f34be1f3591f72525ecd0b40119dc993e415ac460ac0668a513e1fb551
terminal_bench_2_1,pypi-server,pass,,,1,ce44f4966eeb856d4d324077be76122cc1b6bec65dba0c7261d0963c8db23865
deep_swe_v1_1,python-statemachine-state-data-scoping,pass,,,1,b476b03319234c765b3d807c15b0c6d79eb30573383646046b7b29e0937f1680
terminal_bench_2_1,pytorch-model-cli,pass,,,1,7eec56e8606fef4db52d87783905acb57854f29a96501f79e43d0088a12a57a9
terminal_bench_2_1,pytorch-model-recovery,pass,,,1,82151e8f1a9ac25e77beace46ba4d33e0bb43ebbf21d1e8882800b978eea24fa
terminal_bench_2_1,qemu-alpine-ssh,pass,,,1,55cc67158b8d2d1b412c9e541924d73d8024b5f058f8035044003d952268897a
terminal_bench_2_1,qemu-startup,pass,,,1,53d5f7cb895a925f061b0ee9b5273c0b85f1b23d6db55b971605496abbdb8be7
terminal_bench_2_1,query-optimize,pass,,,1,c3f657ee46fc11117ce10ad05ca8ec990d115ecab1d3ff91e470691127d1d7ee
deep_swe_v1_1,query-persist-restored-query-state,pass,,,1,2e6d393d9d8b6eed1b249b7b443cd32cef103cc37e8208a10fa9dcbe099960cc
deep_swe_v1_1,quill-shared-toolbar-focus,pass,,,1,06abe0a548d99c420a607e0923b23fe6e53cfb7fddfd14235c2911b348fb7508
terminal_bench_2_1,raman-fitting,pass,,,0,efb58169a807360d695cc4566b2a6fc6fe445cf8d7c4bbfee97ae274e8d9fcbf
terminal_bench_2_1,regex-chess,pass,,,1,0d20e54fd8970b6615da3ac6350c25eb9995b0272dddaab2d1bc651f6fc7faa0
terminal_bench_2_1,regex-log,pass,,,1,11c760c00d851f9c7030e0071546666cf8eb261dbf1a974fba65c3f7a6c14a9e
terminal_bench_2_1,reshard-c4-data,pass,,,1,82f80ebd2ff308cba3c2833e2f0bce477bd2d441dbf4cc9e201529621a1def61
deep_swe_v1_1,returns-validated-error-accumulation,pass,,,1,0a0bd09a6018fed3398da89f5e5c1c99c5cd9fd84875169717aadbf61b467acf
terminal_bench_2_1,rstan-to-pystan,pass,,,1,db58bfbef682893d6e57fe242a51a78c7c8a9339ff4a4faddbe019609c7ec292
terminal_bench_2_1,sam-cell-seg,pass,,,2,159660d346eec24412078adbef0ae3be9d6abc61d21ee63421e92f61835545fa
terminal_bench_2_1,sanitize-git-repo,pass,,,0,e72137a92a0447493621cf83280d1523c1ed9cea939cb35db50655f09c35f18d
deep_swe_v1_1,scc-bounded-memory-spilling,pass,,,1,8adef41b96794b31cc77f09e040b7225626591b1d9ac196d2315ed55b9c9adc4
terminal_bench_2_1,schemelike-metacircular-eval,pass,,,1,b9032b897e79eb6d0e71b4bf06069439e2f8d35ce3339147346aec22317d2d46
deep_swe_v1_1,scriggo-method-declarations,pass,,,1,9ff9eaacf12a1a92f24b08dbc187a6f4b24a0f7dbe7db1aef282b35914aa7462
deep_swe_v1_1,skrub-duration-encoding,pass,,,1,8a1b471467eceac5590d364c3ee2d4ec7248161579dc7d3300fc3c25d3db7dbb
terminal_bench_2_1,sparql-university,pass,,,1,afab3170669c6e375e0327515f5b305cf559402471d6113b4698e8528a220a54
deep_swe_v1_1,sql-formatter-bigquery-pipe-formatting,pass,,,1,580c2adee533a97ea5718d90b0fd9cf49dbe672c8e89d848e0a89ea366e21071
deep_swe_v1_1,sqlfmt-create-table-ddl-formatting,pass,,,1,68721cdcbe3b43a759bbc120e0e26ec4fca8611cf8bacd26750b85959c087560
terminal_bench_2_1,sqlite-db-truncate,pass,,,1,3ad8946a4774049b73bad9d6cd3fbd9bce4580be19a5b54b2dea564219b9d5f2
deep_swe_v1_1,sqlite-utils-safe-import-checkpoints,pass,,,1,8675f9b095192ee480c0ce89533b94ee496fafff2b4971dcb592d1a7fb4733d4
terminal_bench_2_1,sqlite-with-gcov,pass,,,1,f0b84eb42100fa009654330d7d4ef3f5c7f4ca62064dbd9b4536394e4ea5085b
deep_swe_v1_1,superjson-error-stack-serialization,pass,,,1,c48d562e8f37533125c46d0d06d575496164aa115391b53f73b39c6d771764df
deep_swe_v1_1,task-task-graph-export,pass,,,1,97ff6a5bb21ce47569a070cbfb0cee5d4d9155a9909092512af36bec347ca207
deep_swe_v1_1,tengo-callable-instance-isolation,pass,,,1,5e869883322e4ac4ef76a31de25614e7372bb0d8acb7eb6d8b148269b3443bb1
deep_swe_v1_1,tengo-destructuring-bindings,pass,,missing_duplicate_worst_status_rule,1,9abd9463047fc5caac6f194b08225dd04f7c6c6d149762eea426091c429b1db6
deep_swe_v1_1,termenv-preserve-ansi-resets,pass,,,1,282c6ea67c65d9da920b834151149ebdbbf9f7f1a1d90cd999aeef7e1273007c
deep_swe_v1_1,testem-bail-on-test-failure,pass,,,1,1ff895b058754c9fd609770acd13c72aef998f0995c2d46d23ca7395b29aa2c0
deep_swe_v1_1,testem-per-launcher-reports,pass,,,1,9e4e4649d983d483bc222d6dca7187bc1ff517b8986995a051ca04b8c6ee1f17
deep_swe_v1_1,textual-kitty-key-phases,pass,,,1,406783be51a89df318c0b90c04a8c87184c4e76cc3af2badc976c278c74f1bf1
deep_swe_v1_1,textual-richlog-follow-state,pass,,,1,824f04a32e363e8b09869bf94296bf91643819d0aac5b822f470e6d9f8970536
deep_swe_v1_1,tomlkit-toml-table-converters,pass,,,1,a91d161785896bcb6dce9168f123a291858f9dd5f0a19420369a85ff83d24a5d
terminal_bench_2_1,torch-pipeline-parallelism,pass,,,1,9c3629321a6d3d6fbf4b02ec517718f80c46a7f7b08ac81de846d09023c035ab
terminal_bench_2_1,torch-tensor-parallelism,pass,,,0,59d71df11ad9f57483b1cb75f78f75c64ae02841a60ec92ddc1896fb0b9ec07e
terminal_bench_2_1,train-fasttext,pass,,,1,f04e6c1be20f1bb2c091952ecaf59afc271d52a789d31e5998ab59246c66eeb9
deep_swe_v1_1,true-myth-iterable-collection-combinators,pass,,,1,61087091fa9664362db6dacfa1c0435a9d1c4b57494617dab9057a585054878a
deep_swe_v1_1,ts-pattern-match-each,pass,,,1,00217474199dd21d01d0152fc92a2a3175a7fbd99d3c79de9ac94ce4ae089de1
terminal_bench_2_1,tune-mjcf,pass,,,1,9a979d2111289cf943a0819fb621199641247ba0c7d2a2cfe11d066ae6c9f394
